"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
14917,6/30/2024 0:00:00,7708,"GIBBONS AND REED EMPLOYEES",837,"G&R Credit Union"
15467,6/30/2024 0:00:00,8028,"KELLY COMMUNITY",479,"Retirement & Investment Services"
15732,6/30/2024 0:00:00,8181,"UNIFY FINANCIAL",140,"Western"
15732,6/30/2024 0:00:00,8181,"UNIFY FINANCIAL",501,"UNIFY Financial Credit Union"
15732,6/30/2024 0:00:00,8181,"UNIFY FINANCIAL",502,"UNIFY Financial"
15732,6/30/2024 0:00:00,8181,"UNIFY FINANCIAL",503,"UNIFY"
15766,6/30/2024 0:00:00,8202,"MID-HUDSON VALLEY",1057,"MHVFCU"
15766,6/30/2024 0:00:00,8202,"MID-HUDSON VALLEY",1058,"MHV Federal Credit Union"
15790,6/30/2024 0:00:00,8215,"DELAWARE ALLIANCE",919,"All4you FCU"
15848,6/30/2024 0:00:00,8248,"CBI",977,"None"
16178,6/30/2024 0:00:00,8446,"WATERFRONT",498,"Waterfront Credit Union"
16213,6/30/2024 0:00:00,8468,"FINANCIAL BUILDERS",669,"Financial Builders"
17012,6/30/2024 0:00:00,8924,"PROFED",204,"PROFED"
17017,6/30/2024 0:00:00,8928,"COCA-COLA",465,"Coca-Cola Credit Union"
17335,6/30/2024 0:00:00,9116,"ILLINOIS STATE POLICE",1142,"ISPFCU"
17372,6/30/2024 0:00:00,9136,"LOCKPORT SCHOOLS & COMMUNITY",308,"New York Credit Union Assoc."
17372,6/30/2024 0:00:00,9136,"LOCKPORT SCHOOLS & COMMUNITY",1146,"Lockport Schools FCU"
17389,6/30/2024 0:00:00,9147,"ALLEGIUS",365,"Allegius"
17587,6/30/2024 0:00:00,9266,"USALLIANCE",453,"USALLIANCE Financial"
17587,6/30/2024 0:00:00,9266,"USALLIANCE",672,"USA Specialty Lending"
17587,6/30/2024 0:00:00,9266,"USALLIANCE",854,"Dora"
17587,6/30/2024 0:00:00,9266,"USALLIANCE",855,"Coral Labs"
17587,6/30/2024 0:00:00,9266,"USALLIANCE",985,"Cooperative Workers Alliance, LLC"
17914,6/30/2024 0:00:00,9454,"SUFFOLK",722,"Suffolk Credit Union"
18175,6/30/2024 0:00:00,9571,"HENRICO",429,"Bellwood Credit Union"
